"id","average_wage","industry","average_price","category","year"
308,24645,"Profesní, vědecké a technické činnosti",8.45,"Pivo výčepní, světlé, lahvové",2006
309,17850,Stavebnictví,8.45,"Pivo výčepní, světlé, lahvové",2006
310,24067,Těžba a dobývání,8.45,"Pivo výčepní, světlé, lahvové",2006
311,11674,"Ubytování, stravování a pohostinství",8.45,"Pivo výčepní, světlé, lahvové",2006
312,18223,Velkoobchod a maloobchod; opravy a údržba motorových vozidel,8.45,"Pivo výčepní, světlé, lahvové",2006
313,23285,Veřejná správa a obrana; povinné sociální zabezpečení,8.45,"Pivo výčepní, světlé, lahvové",2006
314,29211,"Výroba a rozvod elektřiny, plynu, tepla a klimatiz. vzduchu",8.45,"Pivo výčepní, světlé, lahvové",2006
315,20030,Vzdělávání,8.45,"Pivo výčepní, světlé, lahvové",2006
316,18740,Zásobování vodou; činnosti související s odpady a sanacemi,8.45,"Pivo výčepní, světlé, lahvové",2006
317,19042,Zdravotní a sociální péče,8.45,"Pivo výčepní, světlé, lahvové",2006
318,14818,"Zemědělství, lesnictví, rybářství",8.45,"Pivo výčepní, světlé, lahvové",2006
319,18482,Zpracovatelský průmysl,8.45,"Pivo výčepní, světlé, lahvové",2006
320,19536,,8.45,"Pivo výčepní, světlé, lahvové",2006
321,14444,Administrativní a podpůrné činnosti,24.73,Pomeranče,2006
322,19242,Činnosti v oblasti nemovitostí,24.73,Pomeranče,2006
323,19257,Doprava a skladování,24.73,Pomeranče,2006
324,35793,Informační a komunikační činnosti,24.73,Pomeranče,2006
325,16827,"Kulturní, zábavní a rekreační činnosti",24.73,Pomeranče,2006
326,16484,Ostatní činnosti,24.73,Pomeranče,2006
327,40027,Peněžnictví a pojišťovnictví,24.73,Pomeranče,2006
328,24645,"Profesní, vědecké a technické činnosti",24.73,Pomeranče,2006
329,17850,Stavebnictví,24.73,Pomeranče,2006
330,24067,Těžba a dobývání,24.73,Pomeranče,2006
331,11674,"Ubytování, stravování a pohostinství",24.73,Pomeranče,2006
332,18223,Velkoobchod a maloobchod; opravy a údržba motorových vozidel,24.73,Pomeranče,2006
333,23285,Veřejná správa a obrana; povinné sociální zabezpečení,24.73,Pomeranče,2006
334,29211,"Výroba a rozvod elektřiny, plynu, tepla a klimatiz. vzduchu",24.73,Pomeranče,2006
335,20030,Vzdělávání,24.73,Pomeranče,2006
336,18740,Zásobování vodou; činnosti související s odpady a sanacemi,24.73,Pomeranče,2006
337,19042,Zdravotní a sociální péče,24.73,Pomeranče,2006
338,14818,"Zemědělství, lesnictví, rybářství",24.73,Pomeranče,2006
339,18482,Zpracovatelský průmysl,24.73,Pomeranče,2006
340,19536,,24.73,Pomeranče,2006
341,14444,Administrativní a podpůrné činnosti,7.69,Přírodní minerální voda uhličitá,2006
342,19242,Činnosti v oblasti nemovitostí,7.69,Přírodní minerální voda uhličitá,2006
343,19257,Doprava a skladování,7.69,Přírodní minerální voda uhličitá,2006
344,35793,Informační a komunikační činnosti,7.69,Přírodní minerální voda uhličitá,2006
345,16827,"Kulturní, zábavní a rekreační činnosti",7.69,Přírodní minerální voda uhličitá,2006
346,16484,Ostatní činnosti,7.69,Přírodní minerální voda uhličitá,2006
347,40027,Peněžnictví a pojišťovnictví,7.69,Přírodní minerální voda uhličitá,2006
348,24645,"Profesní, vědecké a technické činnosti",7.69,Přírodní minerální voda uhličitá,2006
349,17850,Stavebnictví,7.69,Přírodní minerální voda uhličitá,2006
350,24067,Těžba a dobývání,7.69,Přírodní minerální voda uhličitá,2006
351,11674,"Ubytování, stravování a pohostinství",7.69,Přírodní minerální voda uhličitá,2006
352,18223,Velkoobchod a maloobchod; opravy a údržba motorových vozidel,7.69,Přírodní minerální voda uhličitá,2006
353,23285,Veřejná správa a obrana; povinné sociální zabezpečení,7.69,Přírodní minerální voda uhličitá,2006
354,29211,"Výroba a rozvod elektřiny, plynu, tepla a klimatiz. vzduchu",7.69,Přírodní minerální voda uhličitá,2006
355,20030,Vzdělávání,7.69,Přírodní minerální voda uhličitá,2006
356,18740,Zásobování vodou; činnosti související s odpady a sanacemi,7.69,Přírodní minerální voda uhličitá,2006
357,19042,Zdravotní a sociální péče,7.69,Přírodní minerální voda uhličitá,2006
358,14818,"Zemědělství, lesnictví, rybářství",7.69,Přírodní minerální voda uhličitá,2006
